ID,Sana,Mahsulot,Miqdor,Tannarx,Jami
50,2025-11-13,"Cheers 27",56,2500,140000
51,2025-11-13,"Cheers 45",26,4167,108342
52,2025-11-13,"Cheers 70",22,6667,146674
39,2025-11-12,"Sting 0.3",20,2550,51000
40,2025-11-12,"Pepsi 0.25 sht",24,5000,120000
41,2025-11-12,"Pepsi 0.5 bl",24,5859,140616
42,2025-11-12,"Pepsi 449 sht",24,6768,162432
43,2025-11-12,"Чай Lipton 0.5 bl",60,5833.33,349999.8
44,2025-11-12,"Mountain Dew 0.5 bl",12,5022,60264
45,2025-11-12,"7UP 0.5 bl",12,5022,60264
46,2025-11-12,"Mirinda Orange 0.25 sht",24,5000,120000
47,2025-11-12,"Rockstar Original 0,25 sht",24,6672,160128
48,2025-11-12,"''Adrenaline Rush'' 0,449 sht",24,13617,326808
49,2025-11-12,"Mirinda Orange 0.5 bl",12,5022,60264
